# Date,Receipt_Count
5/20/2021,8471826
5/21/2021,9020316
5/22/2021,8399861
5/23/2021,8387758
5/24/2021,8637948
5/25/2021,8088783
5/26/2021,8148275
5/27/2021,8682340
5/28/2021,8879871
5/29/2021,8680501
5/30/2021,8083372
5/31/2021,8517990
6/1/2021,8491801
6/2/2021,9031534
6/3/2021,8319351
6/4/2021,8553246
6/5/2021,8534097
6/6/2021,8462584
6/7/2021,8691699
6/8/2021,8686964
6/9/2021,8550358
6/10/2021,8143101
6/11/2021,8645316
6/12/2021,8928652
6/13/2021,9082265
6/14/2021,8796515
6/15/2021,8629607
6/16/2021,8827278
6/17/2021,8946278
6/18/2021,8390857
6/19/2021,8782778
6/20/2021,8817338
6/21/2021,8543719
6/22/2021,8590990
6/23/2021,8774391
6/24/2021,8913737
6/25/2021,8665876
6/26/2021,8707038
6/27/2021,8869334
6/28/2021,9186579
6/29/2021,8372464
6/30/2021,8721093
7/1/2021,8704509
7/2/2021,8939614
7/3/2021,9267015
7/4/2021,8544557
7/5/2021,8735065
7/6/2021,8326629
7/7/2021,8831147
7/8/2021,8857992
7/9/2021,9160117
7/10/2021,8672036
7/11/2021,8670423
7/12/2021,8869283
7/13/2021,8686309
7/14/2021,8654144
7/15/2021,8860853
7/16/2021,9198488
7/17/2021,8960260
7/18/2021,9122667
7/19/2021,9138658
7/20/2021,8987305
7/21/2021,8899455
7/22/2021,9017914
7/23/2021,8480182
7/24/2021,8603099
7/25/2021,8636410
7/26/2021,8996817
7/27/2021,9024807
7/28/2021,9329236
7/29/2021,8979426
7/30/2021,8909272
7/31/2021,8712314
8/1/2021,8861903
8/2/2021,8913143
8/3/2021,9223398
8/4/2021,9410437
8/5/2021,9212329
8/6/2021,9062121
8/7/2021,9432522
8/8/2021,9111057
8/9/2021,8971236
8/10/2021,8799249
8/11/2021,9127038
8/12/2021,9362940
8/13/2021,9077857
8/14/2021,9413465
8/15/2021,8950079
8/16/2021,9215173
8/17/2021,9056307
8/18/2021,8968187
8/19/2021,9357610
8/20/2021,8971426
8/21/2021,9238276
8/22/2021,9372279
8/23/2021,9589375
8/24/2021,8961875
8/25/2021,9160096
8/26/2021,9052229
8/27/2021,8778271
8/28/2021,9245534
8/29/2021,9384023
8/30/2021,9474742
8/31/2021,9189054
9/1/2021,9167277
9/2/2021,9123056
9/3/2021,9251321
9/4/2021,9377700
9/5/2021,9782022
9/6/2021,8930331
9/7/2021,9718666
9/8/2021,9262001
9/9/2021,9095889
9/10/2021,9364629
9/11/2021,9508131
9/12/2021,9264013
9/13/2021,9461281
9/14/2021,9032235
9/15/2021,9574777
9/16/2021,9189740
9/17/2021,9508023
9/18/2021,9580631
9/19/2021,9697272
9/20/2021,9292315
9/21/2021,9090518
9/22/2021,9294810
9/23/2021,9400956
9/24/2021,9871832
9/25/2021,9569204
9/26/2021,9583588
9/27/2021,9412385
9/28/2021,9221235
9/29/2021,9328174
9/30/2021,9192142
10/1/2021,9432155
10/2/2021,9755500
10/3/2021,9562636
10/4/2021,9497084
10/5/2021,9656472
10/6/2021,9461320
10/7/2021,9363588
10/8/2021,9834844
10/9/2021,9113802
10/10/2021,9290592
10/11/2021,9282316
10/12/2021,9725761
10/13/2021,9449353
10/14/2021,9492895
10/15/2021,9599402
10/16/2021,9664876
10/17/2021,9702569
10/18/2021,9574962
10/19/2021,9540428
10/20/2021,9617606
10/21/2021,9509561
10/22/2021,9417190
10/23/2021,9748484
10/24/2021,9476970
10/25/2021,9373507
10/26/2021,9646801
10/27/2021,9635634
10/28/2021,9530612
10/29/2021,9627467
10/30/2021,9879362
10/31/2021,9501436
11/1/2021,9631220
11/2/2021,10004975
11/3/2021,9749567
11/4/2021,9925777
11/5/2021,9863408
11/6/2021,9933505
11/7/2021,9383028
11/8/2021,9607159
11/9/2021,9707735
11/10/2021,9691895
11/11/2021,9854091
11/12/2021,9695957
11/13/2021,10047149
11/14/2021,9845653
11/15/2021,9656831
11/16/2021,10285056
11/17/2021,9606579
11/18/2021,9928425
11/19/2021,9980182
11/20/2021,9915679
11/21/2021,9837099
11/22/2021,9608834
11/23/2021,9893666
11/24/2021,9897017
11/25/2021,10129048
11/26/2021,9828852
11/27/2021,10014982
11/28/2021,10057900
11/29/2021,10204676
11/30/2021,10299217
12/1/2021,9731627
12/2/2021,9674146
12/3/2021,9679469
12/4/2021,10060861
12/5/2021,9771507
12/6/2021,9726983
12/7/2021,10152789
12/8/2021,9961637
12/9/2021,9888931
12/10/2021,10016144
12/11/2021,10025271
12/12/2021,10013123
12/13/2021,10144930
12/14/2021,10246870
12/15/2021,9838107
12/16/2021,9845904
12/17/2021,10220516
12/18/2021,9835059
12/19/2021,9572522
12/20/2021,10379305
12/21/2021,9680446
12/22/2021,10124238
12/23/2021,9464659
12/24/2021,9703857
12/25/2021,10045897
12/26/2021,10738865
12/27/2021,10350408
12/28/2021,10219445
12/29/2021,10313337
12/30/2021,10310644
12/31/2021,10211187
